name	probability	n_proteins	n_ambiguous	frac_psms	n_peptides
AT1G01050.1	1.0000	1	1	0.0001	8
AT1G01080.2	1.0000	1	1	0.00022	69
AT1G01090.1	1.0000	1	1	0.00045	140
AT1G01100.1	1.0000	1	1	0.00014	41
AT1G01220.1	1.0000	1	1	9e-05	28
AT1G01320.1	1.0000	1	1	0.00016	53
AT1G01470.1	1.0000	1	1	5e-05	16
AT1G01490.1	1.0000	1	1	2e-05	6
AT1G01710.1	1.0000	1	1	3e-05	8
AT1G01750.1	1.0000	1	1	0.0001	32
AT1G01800.1	1.0000	1	1	0.00025	75
AT1G01910.1	1.0000	1	1	5e-05	17
AT1G01940.1	1.0000	1	1	2e-05	7
AT1G01960.1	1.0000	1	1	2e-05	7
AT1G02020.1	1.0000	1	1	0.00012	37
AT1G02100.3	1.0000	1	1	1e-05	3
AT1G02140.1	1.0000	1	1	8e-05	24
AT1G02150.1	1.0000	1	1	0.00011	35
AT1G02360.1	1.0000	1	1	2e-05	7
AT1G02500.1	1.0000	1	1	0.00058	142
AT1G02560.1	1.0000	1	1	0.00038	119
AT1G02780.1	1.0000	1	1	0.00014	53
AT1G02920.1	1.0000	1	1	0.00038	148
AT1G02930.1	1.0000	1	1	0.00032	127
AT1G03030.1	1.0000	1	1	7e-05	21
AT1G03090.2	1.0000	1	1	0.00017	53
AT1G03110.1	1.0000	1	1	0.0001	32
AT1G03130.1	1.0000	1	2	3e-05	8
AT1G03220.1	1.0000	1	1	0.00042	164
AT1G03230.1	1.0000	1	1	0.00018	87
AT1G03310.2	1.0000	1	1	0.0001	31
AT1G03330.1	1.0000	1	1	0.0001	30
AT1G03350.1	1.0000	1	1	3e-05	9
AT1G03360.1	1.0000	1	1	1e-05	4
AT1G03600.1	1.0000	1	1	0.00018	55
AT1G03680.1	1.0000	1	1	0.00112	348
AT1G03870.1	1.0000	1	1	0.00025	95
AT1G03880.1	1.0000	1	1	7e-05	22
AT1G03910.2	1.0000	1	1	2e-05	5
AT1G04080.3	1.0000	1	1	5e-05	17
AT1G04190.1	1.0000	1	1	3e-05	9
AT1G04420.1	1.0000	1	1	0.00069	215
AT1G04480.1	1.0000	1	3	0.00026	82
AT1G04510.1	1.0000	1	1	3e-05	5
AT1G04690.1	1.0000	1	1	0.00026	80
AT1G04710.1	1.0000	1	1	6e-05	16
AT1G04800.1	1.0000	1	1	5e-05	15
AT1G04820.1	1.0000	1	2	0.00037	80
AT1G04850.1	1.0000	1	1	7e-05	21
AT1G04870.2	1.0000	1	1	0.00016	49
AT1G04970.1	1.0000	1	1	3e-05	10
AT1G04980.1	1.0000	1	1	7e-05	24
AT1G05180.1	1.0000	1	1	0.00028	90
AT1G05190.1	1.0000	1	1	0.00019	58
AT1G05350.1	1.0000	1	1	0.0001	30
AT1G05385.1	1.0000	1	1	2e-05	7
AT1G05520.1	1.0000	1	1	3e-05	8
AT1G05560.1	1.0000	1	1	7e-05	24
AT1G05620.1	1.0000	1	1	0.0002	63
AT1G05720.1	1.0000	1	1	2e-05	7
AT1G05840.1	1.0000	1	1	2e-05	5
AT1G06000.1	1.0000	1	1	0.00026	81
AT1G06060.1	1.0000	1	1	3e-05	8
AT1G06110.1	1.0000	1	1	0.0001	31
AT1G06560.1	1.0000	1	1	3e-05	9
AT1G06570.1	1.0000	1	1	0.00013	40
AT1G06690.1	1.0000	1	1	3e-05	9
AT1G06900.1	1.0000	1	1	0.00037	114
AT1G06950.1	1.0000	1	1	5e-05	17
AT1G07040.1	1.0000	1	1	0.0001	30
AT1G07080.1	1.0000	1	1	0.00016	49
AT1G07170.1	1.0000	1	2	3e-05	10
AT1G07230.1	1.0000	1	1	2e-05	6
AT1G07250.1	1.0000	1	1	0.00019	59
AT1G07320.1	1.0000	1	1	0.00017	53
AT1G07440.1	1.0000	1	1	9e-05	25
AT1G07660.1	1.0000	1	8	5e-05	14
AT1G07960.2	1.0000	1	1	3e-05	9
AT1G07990.1	1.0000	1	1	3e-05	10
AT1G08110.4	1.0000	1	1	0.00037	115
AT1G08200.1	1.0000	1	1	0.00061	333
AT1G08360.1	1.0000	1	1	0.00012	39
AT1G08450.1	1.0000	1	1	6e-05	18
AT1G08490.1	1.0000	1	1	0.00036	112
AT1G08550.1	1.0000	1	1	0.0001	31
AT1G08780.1	1.0000	1	1	6e-05	19
AT1G08830.1	1.0000	1	1	0.00023	83
AT1G08980.1	1.0000	1	1	0.00025	78
AT1G09010.1	1.0000	1	1	0.00108	337
AT1G09020.1	1.0000	1	1	6e-05	19
AT1G09070.1	1.0000	1	1	5e-05	15
AT1G09130.3	1.0000	1	1	0.00051	158
AT1G09150.1	1.0000	1	1	2e-05	4
AT1G09210.1	1.0000	1	1	0.00067	289
AT1G09590.1	1.0000	1	2	0.00013	77
AT1G09620.1	1.0000	1	1	0.00105	326
AT1G09640.1	1.0000	1	1	0.0007	334
AT1G09750.1	1.0000	1	1	0.00044	136
AT1G09760.1	1.0000	1	1	5e-05	16
AT1G09770.1	1.0000	1	1	3e-05	8
AT1G09795.1	1.0000	1	1	0.00024	81
AT1G10360.1	1.0000	1	1	0.0001	31
AT1G10370.1	1.0000	1	1	0.00012	37
AT1G10430.1	1.0000	1	1	4e-05	8
AT1G10522.1	1.0000	1	1	2e-05	7
AT1G10580.1	1.0000	1	1	1e-05	3
AT1G10590.3	1.0000	1	1	3e-05	9
AT1G10630.1	1.0000	1	6	0.00017	54
AT1G10700.1	1.0000	1	1	0.00013	39
AT1G10840.1	1.0000	1	1	0.00011	35
AT1G11360.1	1.0000	1	1	0.00013	40
AT1G11430.1	1.0000	1	1	0.00024	74
AT1G11480.1	1.0000	1	1	2e-05	6
AT1G11530.1	1.0000	1	1	1e-05	3
AT1G11545.1	1.0000	1	1	4e-05	11
AT1G11650.2	1.0000	1	1	0.00011	34
AT1G11720.2	1.0000	1	1	0.00025	78
AT1G11750.2	1.0000	1	1	0.00035	110
AT1G11840.6	1.0000	1	1	0.00122	402
AT1G11860.1	1.0000	1	1	0.00181	564
AT1G11870.2	1.0000	1	1	0.00029	89
AT1G12000.1	1.0000	1	1	0.00037	149
AT1G12050.1	1.0000	1	1	0.00036	113
AT1G12230.2	1.0000	1	1	0.00038	118
AT1G12240.1	1.0000	1	1	0.00059	229
AT1G12250.1	1.0000	1	1	0.00013	41
AT1G12310.1	1.0000	1	1	0.0003	145
AT1G12410.1	1.0000	1	1	0.00028	87
AT1G12550.1	1.0000	1	1	1e-05	4
AT1G12780.1	1.0000	1	1	0.00019	73
AT1G12800.1	1.0000	1	1	5e-05	16
AT1G12820.1	1.0000	1	1	3e-05	17
AT1G13060.2	1.0000	1	1	0.00024	123
AT1G13270.1	1.0000	1	1	6e-05	19
AT1G13280.1	1.0000	1	1	0.00022	62
AT1G13420.1	1.0000	1	1	2e-05	5
AT1G13690.1	1.0000	1	1	1e-05	4
AT1G13730.1	1.0000	1	1	4e-05	12
AT1G13900.1	1.0000	1	1	0.00019	58
AT1G13930.1	1.0000	1	1	0.00028	88
AT1G14000.1	1.0000	1	1	2e-05	6
AT1G14030.1	1.0000	1	1	5e-05	15
AT1G14060.1	1.0000	1	1	9e-05	27
AT1G14210.1	1.0000	1	1	0.00029	91
AT1G14220.1	1.0000	1	1	8e-05	25
AT1G14310.1	1.0000	1	1	3e-05	9
AT1G14380.1	1.0000	1	1	4e-05	13
AT1G14410.1	1.0000	1	1	0.00019	79
AT1G14510.1	1.0000	1	1	3e-05	12
AT1G14700.1	1.0000	1	1	0.00014	43
AT1G14810.1	1.0000	1	1	0.00042	130
AT1G14830.1	1.0000	1	1	3e-05	9
AT1G14890.1	1.0000	1	1	3e-05	9
AT1G14930.1	1.0000	1	1	2e-05	5
AT1G14960.1	1.0000	1	1	0.00013	39
AT1G15000.1	1.0000	1	1	0.00021	67
AT1G15060.1	1.0000	1	1	1e-05	4
AT1G15140.1	1.0000	1	1	0.00028	88
AT1G15340.1	1.0000	1	1	0.00031	100
AT1G15390.1	1.0000	1	1	1e-05	4
AT1G15730.1	1.0000	1	1	3e-05	5
AT1G15790.1	1.0000	1	1	1e-05	3
AT1G15860.3	1.0000	1	1	1e-05	4
AT1G15930.2	1.0000	1	1	0.00031	124
AT1G16080.1	1.0000	1	1	0.00066	205
AT1G16190.1	1.0000	1	1	5e-05	6
AT1G16240.1	1.0000	1	1	2e-05	5
AT1G16300.1	1.0000	1	1	0.00017	10
AT1G16340.4	1.0000	1	1	9e-05	47
AT1G16350.1	1.0000	1	1	0.00031	113
AT1G16460.2	1.0000	1	1	0.00011	37
AT1G16470.1	1.0000	1	1	0.00034	198
AT1G16720.1	1.0000	1	1	0.00017	53
AT1G16810.1	1.0000	1	1	2e-05	6
AT1G16880.1	1.0000	1	1	0.00064	198
AT1G17100.1	1.0000	1	1	0.00019	58
AT1G17160.1	1.0000	1	1	0.0002	63
AT1G17190.1	1.0000	1	1	0.00025	86
AT1G17220.1	1.0000	1	1	0.00033	101
AT1G17650.1	1.0000	1	1	0.00031	95
AT1G17720.1	1.0000	1	1	0.00014	43
AT1G17860.1	1.0000	1	1	0.00022	68
AT1G17880.1	1.0000	1	1	0.00025	109
AT1G18070.3	1.0000	1	1	0.00016	50
AT1G18080.1	1.0000	1	1	0.00083	236
AT1G18210.1	1.0000	1	1	0.00043	133
AT1G18270.3	1.0000	1	1	0.0007	217
AT1G18490.1	1.0000	1	1	2e-05	5
AT1G18500.1	1.0000	1	1	0.00011	50
AT1G18540.1	1.0000	1	1	0.00029	145
AT1G18800.1	1.0000	1	1	0.0001	42
AT1G18970.1	1.0000	1	1	4e-05	13
AT1G18980.1	1.0000	1	1	6e-05	18
AT1G19120.1	1.0000	1	1	5e-05	15
AT1G19670.1	1.0000	1	1	2e-05	6
AT1G19730.1	1.0000	1	1	0.00012	40
AT1G19740.1	1.0000	1	1	2e-05	8
AT1G19870.1	1.0000	1	1	1e-05	3
AT1G19880.1	1.0000	1	1	1e-05	4
AT1G19920.1	1.0000	1	1	0.00035	101
AT1G20010.1	1.0000	1	1	0.0003	74
AT1G20020.1	1.0000	1	1	0.00104	358
AT1G20110.1	1.0000	1	1	2e-05	6
AT1G20160.1	1.0000	1	1	3e-05	9
AT1G20200.1	1.0000	1	1	0.00027	119
AT1G20220.1	1.0000	1	1	3e-05	8
AT1G20260.1	1.0000	1	2	0.00038	204
AT1G20340.1	1.0000	1	1	0.00018	58
AT1G20540.1	1.0000	1	1	5e-05	16
AT1G20630.1	1.0000	1	1	0.00067	318
AT1G20693.1	1.0000	1	1	5e-05	10
AT1G20696.2	1.0000	1	1	5e-05	20
AT1G20760.1	1.0000	1	1	6e-05	19
AT1G20810.1	1.0000	1	1	1e-05	4
AT1G20850.1	1.0000	1	1	6e-05	7
AT1G20960.1	1.0000	1	1	0.00013	44
AT1G20970.1	1.0000	1	1	3e-05	8
AT1G21065.1	1.0000	1	1	7e-05	22
AT1G21190.1	1.0000	1	1	4e-05	6
AT1G21350.3	1.0000	1	1	0.00017	54
AT1G21600.1	1.0000	1	1	2e-05	5
AT1G21630.2	1.0000	1	1	4e-05	11
AT1G21640.2	1.0000	1	1	2e-05	5
AT1G21770.1	1.0000	1	1	5e-05	16
AT1G21880.2	1.0000	1	1	9e-05	34
AT1G22410.1	1.0000	1	1	5e-05	16
AT1G22610.1	1.0000	1	1	2e-05	5
AT1G22660.1	1.0000	1	1	3e-05	8
AT1G22780.1	1.0000	1	3	0.00031	98
AT1G22800.1	1.0000	1	1	3e-05	9
AT1G22940.1	1.0000	1	1	5e-05	17
AT1G23120.1	1.0000	1	1	8e-05	24
AT1G23190.1	1.0000	1	1	0.00077	303
AT1G23205.1	1.0000	1	1	1e-05	4
AT1G23290.1	1.0000	1	2	0.00026	80
AT1G23440.1	1.0000	1	1	0.00012	44
AT1G23730.1	1.0000	1	1	0.00028	121
AT1G23740.1	1.0000	1	1	0.00121	376
AT1G23820.1	1.0000	1	1	0.00054	195
AT1G24020.1	1.0000	1	1	0.00061	189
AT1G24050.1	1.0000	1	1	4e-05	12
AT1G24100.1	1.0000	1	1	0.00035	109
AT1G24180.1	1.0000	1	1	0.00047	194
AT1G24360.1	1.0000	1	1	0.00017	54
AT1G24490.1	1.0000	1	1	1e-05	3
AT1G24800.1	1.0000	1	5	3e-05	8
AT1G24807.1	1.0000	1	6	5e-05	16
AT1G25230.1	1.0000	1	1	0.0003	94
AT1G25490.1	1.0000	1	1	0.00017	42
